notice_id,errors,flags,got_no_persons,got_nothing,labels,might_have_unparsed_persons,officers
247560,,2,,,1,,1
247564,1,5,,,,1,1
248000,,,1,1,,,
248251,,,1,1,,,
248566,,,,,,,1
249214,,4,,,1,,1
249636,,1,,,,,1
249913,,,,,,,1
252661,,,1,1,,,
254933,,2,,,1,,1
256810,,1,1,,,,
256917,,1,,,1,,1
258249,,1,,,1,,2
260488,,1,,,1,,2
263010,,5,,,2,,1
263174,,1,,,,,1
265541,,,1,,1,,
266301,,,1,,1,,
266355,,1,,,3,,1
266820,,3,,,1,,1
267464,,1,,,1,,1
267493,,,1,1,,,
268056,,5,,,1,,1
268251,,1,,,3,,2
268505,,,1,,1,,
269488,,,1,1,,,
270042,,,1,,1,,
270451,,,1,1,,,
271318,,,1,,1,,
272460,,,1,1,,,
273373,,,,,,,1
273988,,3,,,1,1,1
275132,,,,,1,,1
275238,,4,,,1,,1
275421,,,,,,,1
275819,,3,,,,,1
276562,,5,,,3,,1
276827,,,,,,,1
277331,,,1,1,,,
277431,,1,,,,,1
278500,,1,,,,,2
280728,,4,,,1,1,1
280780,,,1,1,,,
281347,,,1,1,,,
281505,,,1,1,,,
281943,,2,,,3,,1
282056,,,1,1,,,
282787,,4,,,1,,1
284344,,4,,,1,,1
284619,,,1,1,,,
285352,,,1,1,,,
285677,,4,,,1,1,1
286302,,1,,,1,,1
287631,,1,,,,,1
287646,,4,,,1,,1
288137,,3,,,,,1
288275,,1,,,,,1
289677,,4,,,1,1,1
290030,,4,,,1,,1
291042,,3,,,,1,2
292533,,,,,,1,1
292824,,1,,,1,1,2
293275,,,,,1,,1
295022,,,1,1,,,
295246,,2,,,,,1
296499,,3,,,,,1
297328,,1,,,,,2
297590,,4,,,1,,1
299161,,6,,,3,,2
300072,,,1,1,,,
300866,,1,,,,,1
301293,,3,,,1,,1
303596,,,1,1,,,
304672,,,1,1,,,
304960,,2,,,1,,1
305076,,2,,,,,2
305525,,4,,,1,,1
305648,,,1,,2,,
305782,,,1,1,,,
307877,,,1,1,,,
308496,,,1,,1,,
309199,,,1,,1,,
309846,,4,,,1,,1
310516,,,,,,,1
311536,,5,,,1,,1
313597,,,1,1,,,
314572,,,1,,1,,
316494,,1,,,1,1,2
319354,,1,,,1,,1
319909,,,1,,1,,
320084,,1,,,1,,1
322965,,,1,,1,,
324397,,4,,,1,1,1
324776,,,1,,1,,
324777,,,1,1,,,
324811,,2,,,1,1,2
325070,,,1,,1,,
328256,,4,,,1,,1
328601,,5,,,1,1,2
329001,2,,,,1,1,3
330301,1,,1,,,1,
335081,,,,,,,1
335627,,,1,1,,,
337763,,1,,,,1,1
339273,,,1,1,,,
339905,,,1,,1,,
340752,,2,,,1,,1
340760,,,1,1,,,
340938,,,1,,3,,
342380,,,,,,,1
344404,,7,,,1,1,2
344689,,,1,1,,,
345604,,,1,,1,,
345918,,,1,,1,,
347281,,,1,1,,,
350313,,,,,1,,1
353151,,,1,1,,,
353933,,,1,1,,,
355549,,4,,,1,1,2
356037,,1,,,,,1
356481,1,,1,,1,1,
356805,,5,,,3,,1
357021,,,1,,1,,
361540,,,1,1,,,
363658,,,1,,1,1,
365343,,,1,,1,,
365406,,4,,,1,,1
367881,,,1,,2,,
368425,,,1,1,,,
370323,,,,,,,1
370547,,,1,1,,,
371051,,,1,1,,,
375399,,,1,1,,,
375495,,4,,,1,,2
375772,,5,,,3,,1
375961,,,1,1,,,
377329,,,1,,1,,
378485,,3,,,1,,1
378673,,,1,,1,,
381556,,4,,,1,,1
381970,,1,,,1,,1
382286,,2,,,1,,1
382815,,,1,1,,,
385493,,1,,,2,,1
386057,,1,,,,,2
388531,,,1,1,,,
389711,,,1,1,,,
389726,,4,,,1,,1
390089,,,1,,3,,
393018,,,1,1,,,
393284,,,1,1,,,
393338,,,1,1,,,
394146,,,1,1,,,
395360,,1,,,1,,1
395547,,,1,,1,,
396495,,4,,,1,,1
398120,,,1,1,,,
398463,,,,,,,1
399135,,4,,,1,,1
402775,,,1,1,,,
404369,,,1,1,,,
405289,,,1,1,,,
405702,,,1,1,,,
406473,,,1,,1,,
406990,,,1,,1,,
407674,,,1,1,,,
408926,,4,,,1,1,2
410676,,,1,1,,,
410847,,4,,,1,,1
412092,,1,,,,,2
415016,,1,,,1,,1
419021,,1,,,1,,1
421213,,2,1,,,,
422782,,,1,,1,,
423613,,,,,1,,1
423673,,1,,,,,1
423781,,,1,1,,,
424136,,,1,1,,,
424951,,,1,,1,,
427661,,8,,,3,,2
429001,,,1,1,,,
429885,2,3,,,1,1,1
430407,,,1,1,,,
432658,,,1,1,,,
432967,,,1,,2,,
435903,,5,,,3,,1
436659,,,,,,,2
436697,,1,,,1,,2
437183,,1,1,,,,
437277,,1,,,1,,1
437524,,,,,,,1
438400,,,1,,3,,
441173,1,,1,,,,
441881,,,1,,1,,
442762,,1,,,,,1
445350,,1,,,,,2
446575,,,1,,2,,
447788,,,1,,1,,
450395,,1,,,1,,1
451212,,,,,,,1
451391,,,1,1,,,
451753,,3,,,1,,1
451994,,,,,1,,2
452062,,,1,,1,,
455453,,,1,,2,,
455595,,,1,1,,,
456407,,1,,,,,1
456782,,1,,,,,2
457443,,4,,,1,,1
457815,,,1,,1,,
459693,,,1,1,,,
459705,,2,,,,1,1
460927,,,1,,1,,
462565,,1,,,,,2
465043,,,1,,1,,
465170,,,1,,1,,
466329,,,,,,,1
467626,,2,,,1,1,1
468585,,,1,1,,,
469334,,,1,1,,,
470764,,2,,,1,,2
473171,,,,,1,,1
473385,,2,,,1,,1
473762,,,1,,1,,
475280,,2,,,,,2
476486,,,,,,,1
476524,,,,,,,1
476816,,,1,,3,,
478261,,4,,,1,1,1
479155,,1,,,1,,1
480360,,,1,,1,,
480473,,1,,,,,1
482831,,,,,1,,1
483125,,,1,,1,,
483857,,2,,,1,,1
486647,,,1,1,,,
487688,,,1,1,,,
491247,,2,,,1,,1
491351,,3,,,1,1,1
494833,,3,,,1,,1
496981,,1,,,1,,2
499922,,1,,,1,,1
500419,,,1,,1,,
501562,,1,,,1,,1
502595,,,1,1,,,
503101,,1,,,1,,1
504783,,,1,1,,,
505451,,3,,,1,,1
506062,,,1,1,,,
509352,,,1,,1,,
510315,,,1,1,,,
511884,,1,,,1,,1
513015,,1,,,1,,1
513982,,,1,,1,,
516224,,4,,,1,1,1
518892,,1,1,,,,
519960,,,,,,1,1
520671,,,,,1,,1
522952,,1,,,1,,1
525430,,,1,1,,,
527376,,4,,,1,,1
528908,,1,1,,1,,
530740,,4,,,1,,1
532216,,,1,1,,,
539716,,,1,,1,,
540049,,,,,1,1,1
540200,,,1,1,,,
542253,,,1,1,,,
544261,,,,,1,1,1
544972,,,,,1,,1
545069,,3,,,1,,2
547756,,,,,,,1
547957,,,1,1,,,
548495,,2,,,1,,1
549092,,,1,,1,,
549781,,,1,1,,,
550445,,1,,,,,1
557876,,,1,,1,,
560996,,,1,,1,,
561024,,,1,,1,,
561860,,2,,,1,,2
564358,,2,,,1,,1
564866,,,1,1,,,
565266,,,1,1,,,
569352,,,1,,1,,
570124,,,,,,,1
571595,,,,,,,1
572806,,,1,1,,,
573495,,,1,,1,,
576829,,,1,,1,,
579513,,,1,1,,,
580677,,2,,,1,,1
583149,,2,1,,1,,
585346,,,,,,,2
586210,,,1,,1,1,
586414,,4,,,1,,1
586928,,1,,,,1,2
590730,,1,,,1,,1
590953,,,,,,1,1
592483,,2,,,1,,1
594022,,,1,1,,,
