+-----------+-----------+--------+-------+----------------+-------------+--------+-----------------------------+---------+----------+
| notice_id | addresses | errors | flags | got_no_persons | got_nothing | labels | might_have_unparsed_persons | notices | officers |
|    7504   |           |        |   1   |       1        |             |        |              1              |    1    |          |
|    7564   |           |        |   2   |                |             |        |                             |         |    1     |
|    7568   |           |        |   3   |                |             |        |                             |         |    1     |
|    7629   |           |   1    |   1   |                |             |        |                             |         |    2     |
|    7665   |           |        |       |                |             |        |                             |         |    2     |
|    7719   |           |        |       |                |             |        |                             |         |    3     |
|    7742   |           |        |   1   |                |             |        |                             |         |    1     |
|    7803   |           |        |   2   |                |             |        |                             |         |    2     |
|    7815   |           |        |       |       1        |      1      |        |                             |         |          |
|    7848   |           |        |   3   |                |             |        |                             |         |    1     |
|    7873   |           |        |       |                |             |        |                             |         |    2     |
|    7881   |           |        |       |                |             |        |                             |         |    3     |
|    7914   |           |        |       |       1        |      1      |        |                             |         |          |
|    7929   |           |        |       |                |             |        |                             |         |    1     |
|    7962   |           |        |       |                |             |        |                             |         |    2     |
|    8012   |           |        |       |                |             |        |                             |         |    1     |
|    8092   |           |        |       |                |             |        |                             |         |    1     |
|    8132   |           |        |       |       1        |      1      |        |                             |         |          |
|    8162   |           |   1    |   4   |                |             |        |                             |         |    2     |
|    8178   |           |        |       |       1        |      1      |        |                             |         |          |
|    8214   |           |        |       |       1        |      1      |        |                             |         |          |
|    8232   |           |        |       |                |             |        |                             |         |    2     |
|    8273   |           |        |       |       1        |      1      |        |                             |         |          |
|    8323   |           |        |       |                |             |        |                             |         |    1     |
|    8338   |           |   2    |   8   |                |             |        |                             |         |    2     |
|    8580   |           |   1    |   4   |                |             |        |                             |         |    2     |
|    8599   |           |        |       |       1        |      1      |        |                             |         |          |
|    8625   |           |   1    |       |                |             |        |                             |         |    2     |
|    8667   |           |        |       |                |             |        |                             |         |    2     |
|    8719   |           |        |       |       1        |      1      |        |                             |         |          |
|    8778   |           |        |       |                |             |        |                             |         |    2     |
|    8780   |           |        |       |                |             |        |                             |         |    2     |
|    8791   |           |   1    |   4   |                |             |        |                             |         |    1     |
|    8825   |           |        |   2   |                |             |        |                             |         |    1     |
|    8847   |           |        |   3   |       1        |      1      |        |                             |         |    2     |
|    8876   |           |        |       |                |             |        |                             |         |    1     |
|    8879   |           |        |       |       1        |      1      |        |                             |         |          |
|    8971   |           |   1    |       |       1        |             |        |              1              |         |          |
|    9030   |           |   1    |   1   |                |             |        |                             |         |    1     |
|    9116   |           |        |   3   |                |             |        |                             |         |    2     |
|    9121   |           |        |       |                |             |        |                             |    1    |    2     |
|    9140   |           |        |       |       1        |      1      |        |                             |         |          |
|    9256   |           |        |       |                |             |        |                             |         |    2     |
|    9294   |           |        |       |                |             |        |                             |         |    1     |
|    9367   |           |        |       |                |             |        |                             |         |    2     |
|    9377   |           |   1    |   4   |                |             |        |                             |         |    4     |
|    9467   |           |   4    |   2   |                |             |        |                             |         |    1     |
|    9531   |           |        |   1   |       1        |             |        |                             |         |          |
|    9555   |           |        |       |       1        |      1      |        |                             |         |          |
|    9561   |           |        |       |       1        |             |        |              1              |    1    |          |
|    9575   |           |        |       |       1        |             |        |                             |    1    |          |
|    9624   |           |        |   3   |                |             |        |                             |         |    1     |
